SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
47,Coby White,CHI,25,74,35,39,33.1,20.4,6.9,15.1,45.3,2.9,7.9,37.0,3.7,4.1,90.2,0.3,3.4,3.7,4.5,2.4,0.9,0.2,2.1,32.6,2.0,0.0,-1.9
48,Miles Bridges,CHA,27,64,16,48,31.7,20.3,7.3,17.0,43.1,2.2,7.0,31.3,3.5,4.0,87.0,1.1,6.4,7.5,3.9,2.1,0.7,0.7,1.5,37.2,14.0,1.0,-4.0
49,Pascal Siakam,IND,31,78,47,31,32.7,20.2,7.9,15.2,51.9,1.6,4.2,38.9,2.9,3.9,73.4,1.7,5.2,6.9,3.4,1.4,0.9,0.5,2.4,36.5,11.0,0.0,4.0
50,Austin Reaves,LAL,26,73,46,27,34.9,20.2,6.5,14.2,46.0,2.7,7.3,37.7,4.4,5.0,87.7,0.8,3.7,4.5,5.8,2.4,1.1,0.3,2.1,36.1,9.0,1.0,2.7
51,Kristaps Porziņģis,BOS,29,42,30,12,28.8,19.5,6.6,13.7,48.3,2.5,6.0,41.2,3.8,4.7,80.9,1.6,5.1,6.8,2.1,1.3,0.7,1.5,2.8,36.2,6.0,0.0,4.1
52,Scottie Barnes,TOR,23,65,26,39,32.8,19.3,7.3,16.4,44.6,1.2,4.3,27.1,3.5,4.6,75.5,1.7,6.0,7.7,5.8,2.8,1.4,1.0,1.7,41.6,26.0,1.0,-2.0
53,Anfernee Simons,POR,25,70,28,42,32.7,19.3,6.8,16.1,42.6,3.1,8.5,36.3,2.5,2.8,90.2,0.4,2.3,2.7,4.8,2.0,0.9,0.1,1.7,30.5,2.0,0.0,-3.1
54,Desmond Bane,MEM,26,69,38,31,32.0,19.2,7.1,14.8,48.4,2.4,6.1,39.2,2.6,2.9,89.4,0.9,5.2,6.1,5.3,2.4,1.2,0.4,2.4,36.8,10.0,1.0,2.1
55,Domantas Sabonis,SAC,28,70,36,34,34.7,19.1,7.5,12.8,59.0,0.9,2.2,41.7,3.1,4.1,75.4,3.8,10.1,13.9,6.0,2.9,0.7,0.4,3.3,45.1,61.0,10.0,2.1
56,Alperen Sengun,HOU,22,76,52,24,31.5,19.1,7.5,15.0,49.6,0.3,1.2,23.3,3.9,5.6,69.2,3.4,6.9,10.3,4.9,2.6,1.1,0.8,2.8,42.0,45.0,4.0,5.4
57,Lauri Markkanen,UTA,27,47,9,38,31.4,19.0,6.3,14.9,42.3,2.9,8.5,34.6,3.4,3.9,87.6,1.5,4.4,5.9,1.5,1.4,0.7,0.4,1.7,30.1,5.0,0.0,-4.0
58,John Collins,UTA,27,40,12,28,30.5,19.0,7.0,13.3,52.7,1.5,3.7,39.9,3.5,4.1,84.8,2.2,6.0,8.2,2.0,2.6,1.0,1.0,2.9,35.1,13.0,0.0,-0.4
59,Jalen Johnson,ATL,23,36,18,18,35.7,18.9,7.5,15.1,50.0,1.2,3.9,31.2,2.6,3.5,74.6,1.7,8.3,10.0,5.0,2.9,1.6,1.0,1.9,43.1,20.0,1.0,1.5
60,Cameron Johnson,BKN,29,57,21,36,31.6,18.8,6.2,13.1,47.5,2.8,7.2,39.0,3.5,3.9,89.3,0.9,3.4,4.3,3.4,1.7,0.9,0.4,1.8,31.4,2.0,0.0,-3.5
61,Julius Randle,MIN,30,69,44,25,32.3,18.7,6.6,13.6,48.5,1.6,4.6,34.4,3.9,4.9,80.6,2.1,5.0,7.1,4.7,2.8,0.7,0.2,2.5,34.1,14.0,0.0,2.4
